latitude_deg,longitude_deg_east,elevation_m,hemisphere
88.875,357.125,-1458.5,North
88.875,359.125,-1463.0,North
86.875,1.125,711.5,North
86.875,3.125,720.5,North
86.875,5.125,-386.0,North
86.875,7.125,46.5,North
86.875,9.125,994.5,North
86.875,11.125,480.0,North
86.875,13.125,-12.5,North
86.875,15.125,-340.0,North
86.875,17.125,215.5,North
86.875,19.125,-308.0,North
86.875,21.125,-352.5,North
86.875,23.125,-231.0,North
86.875,25.125,-261.0,North
86.875,27.125,-747.0,North
86.875,29.125,-1073.5,North
86.875,31.125,-493.5,North
86.875,33.125,-540.0,North
86.875,35.125,-578.5,North
86.875,37.125,-550.5,North
86.875,39.125,-524.5,North
86.875,41.125,-570.5,North
86.875,43.125,-553.0,North
86.875,45.125,-412.5,North
86.875,47.125,-468.5,North
86.875,49.125,-508.0,North
86.875,51.125,-488.5,North
86.875,53.125,-473.0,North
86.875,55.125,-458.5,North
86.875,57.125,-845.5,North
86.875,59.125,-394.0,North
86.875,61.125,-891.5,North
86.875,63.125,-1090.5,North
86.875,65.125,-1209.0,North
86.875,67.125,-1206.5,North
86.875,69.125,-1253.5,North
86.875,71.125,-1256.5,North
86.875,73.125,-1304.5,North
86.875,75.125,-1230.5,North
86.875,77.125,-1236.0,North
86.875,79.125,-1142.0,North
86.875,81.125,-1030.0,North
86.875,83.125,-1118.0,North
86.875,85.125,-1119.0,North
86.875,87.125,-1174.5,North
86.875,89.125,-1270.5,North
86.875,91.125,-1205.5,North
86.875,93.125,-1246.5,North
86.875,95.125,-1152.0,North
86.875,97.125,-1004.0,North
86.875,99.125,-1033.0,North
86.875,101.125,-955.0,North
86.875,103.125,-1088.5,North
86.875,105.125,-1057.5,North
86.875,107.125,-1023.5,North
86.875,109.125,-1135.0,North
86.875,111.125,-1224.0,North
86.875,113.125,-1210.0,North
86.875,115.125,-1178.5,North
86.875,117.125,-1164.5,North
86.875,119.125,-1199.0,North
86.875,121.125,-1148.0,North
86.875,123.125,-1158.0,North
86.875,125.125,-1077.0,North
86.875,127.125,-716.0,North
86.875,129.125,-1114.0,North
86.875,131.125,-1245.0,North
86.875,133.125,-1269.5,North
86.875,135.125,-1262.5,North
86.875,137.125,-926.0,North
86.875,139.125,17.0,North
86.875,141.125,-732.0,North
86.875,143.125,-746.0,North
86.875,145.125,-305.0,North
86.875,147.125,-173.5,North
86.875,149.125,193.5,North
86.875,151.125,-272.0,North
86.875,153.125,315.0,North
86.875,155.125,-371.0,North
86.875,157.125,-597.0,North
86.875,159.125,-82.5,North
86.875,161.125,419.0,North
86.875,163.125,-112.0,North
86.875,165.125,-204.5,North
86.875,167.125,399.5,North
86.875,169.125,141.5,North
86.875,171.125,-357.0,North
86.875,173.125,-579.0,North
86.875,175.125,-1028.5,North
86.875,177.125,-1238.5,North
86.875,179.125,-1515.0,North
86.875,181.125,-1791.5,North
86.875,183.125,-2378.0,North
86.875,185.125,-2191.0,North
86.875,187.125,-2040.0,North
86.875,189.125,-2433.5,North
86.875,191.125,-2734.5,North
86.875,193.125,-2696.5,North
86.875,195.125,-2720.5,North
86.875,197.125,-2689.0,North
86.875,199.125,-2694.5,North
86.875,201.125,-2701.0,North
86.875,203.125,-2694.5,North
86.875,205.125,-2696.0,North
86.875,207.125,-2680.0,North
86.875,209.125,-2672.0,North
86.875,211.125,-2648.0,North
86.875,213.125,-2654.0,North
86.875,215.125,-2656.0,North
86.875,217.125,-2658.5,North
86.875,219.125,-2544.5,North
86.875,221.125,-2180.5,North
86.875,223.125,-1777.5,North
86.875,225.125,-1423.5,North
86.875,227.125,-901.0,North
86.875,229.125,-473.5,North
86.875,231.125,588.5,North
86.875,233.125,792.0,North
86.875,235.125,655.5,North
86.875,237.125,282.0,North
86.875,239.125,300.5,North
86.875,241.125,-2.5,North
86.875,243.125,-875.0,North
86.875,245.125,-1403.5,North
86.875,247.125,-2005.0,North
86.875,249.125,-2177.0,North
86.875,251.125,-2234.0,North
86.875,253.125,-2220.5,North
86.875,255.125,-2233.5,North
86.875,257.125,-2290.5,North
86.875,259.125,-2269.0,North
86.875,261.125,-2257.0,North
86.875,263.125,-2269.0,North
86.875,265.125,-2199.0,North
86.875,267.125,-2225.0,North
86.875,269.125,-2119.0,North
86.875,271.125,-2147.5,North
86.875,273.125,-2152.0,North
86.875,275.125,-2184.0,North
86.875,277.125,-2200.0,North
86.875,279.125,-2210.5,North
86.875,281.125,-2218.5,North
86.875,283.125,-2187.5,North
86.875,285.125,-2151.5,North
86.875,287.125,-2106.0,North
86.875,289.125,-1129.5,North
86.875,291.125,-845.5,North
86.875,293.125,-352.5,North
86.875,295.125,343.0,North
86.875,297.125,489.0,North
86.875,299.125,659.0,North
86.875,301.125,798.5,North
86.875,303.125,622.5,North
86.875,305.125,517.0,North
86.875,307.125,260.0,North
86.875,309.125,42.0,North
86.875,311.125,-105.5,North
86.875,313.125,308.0,North
86.875,315.125,195.0,North
86.875,317.125,511.5,North
86.875,319.125,193.0,North
86.875,321.125,-370.5,North
86.875,323.125,-824.5,North
86.875,325.125,-941.0,North
86.875,327.125,-1008.5,North
86.875,329.125,-1095.5,North
86.875,331.125,-1133.0,North
86.875,333.125,-1114.5,North
86.875,335.125,-1116.5,North
86.875,337.125,-1211.5,North
86.875,339.125,-1233.0,North
86.875,341.125,-1111.0,North
86.875,343.125,-1149.5,North
86.875,345.125,-1140.5,North
86.875,347.125,-1214.5,North
86.875,349.125,-1129.0,North
86.875,351.125,-1068.0,North
86.875,353.125,-1049.0,North
86.875,355.125,-724.5,North
86.875,357.125,-468.5,North
86.875,359.125,129.0,North
84.875,1.125,-1394.0,North
84.875,3.125,-1421.5,North
84.875,5.125,-1405.5,North
84.875,7.125,-1440.0,North
84.875,9.125,-1421.0,North
84.875,11.125,-1380.5,North
84.875,13.125,-1310.0,North
84.875,15.125,-1307.5,North
84.875,17.125,-1265.5,North
84.875,19.125,-1229.0,North
84.875,21.125,-1205.0,North
84.875,23.125,-1073.0,North
84.875,25.125,-613.5,North
84.875,27.125,-1042.5,North
84.875,29.125,-1133.0,North
84.875,31.125,-1227.5,North
84.875,33.125,-1116.5,North
84.875,35.125,-2092.5,North
84.875,37.125,-137.0,North
84.875,39.125,-1181.5,North
84.875,41.125,-1271.0,North
84.875,43.125,-1211.5,North
84.875,45.125,-1303.0,North
84.875,47.125,-1353.0,North
84.875,49.125,-1238.0,North
84.875,51.125,-471.0,North
84.875,53.125,-1187.5,North
84.875,55.125,-2392.0,North
84.875,57.125,-3072.5,North
84.875,59.125,-3146.0,North
84.875,61.125,-3148.0,North
